Node Name,ID,Search Index
Apparel & Accessories,7141123011,Apparel
Appstore for Android,2350149011,Software
Arts Crafts & Sewing,2617941011,HomeGarden
Automotive,15684181,Automotive
Baby,165796011,Baby
Beauty,3760911,Beauty
Books,283155,Books
Camera & Photo,502394,Photo
Car Toys,1077068,Electronics
Cell Phones & Accessories,2335753011,Wireless
Computer & Video Games,468642,VideoGames
Computers,541966,Electronics
Electronics,172282,Electronics
Grocery & Gourmet Food,16310211,Grocery
Health & Personal Care,3760901,HealthPersonalCare
Home & Kitchen,1055398,Kitchen
Industrial & Scientific,16310161,Industrial
Jewelry,7141123011,Jewelry
Kindle Store,133140011,KindleStore
Kitchen & Housewares,284507,Kitchen
Lawn & Garden,2972638011,LawnAndGarden
Magazine Subscriptions,599858,Magazines
Movies & TV,2625373011,DVD
MP3 Downloads,163856011,MP3Downloads
Music,5174,Music
Musical Instruments,11091801,MusicalInstruments
Office Products,1064954,OfficeProducts
Pet Supplies,2619533011,PetSupplies
Shoes,7141123011,Shoes
Software,229534,Software
Sports & Outdoors,3375251,SportingGoods
Tools & Hardware,228013,Tools
Toys and Games,165793011,Toys
Video Games,11846801,VideoGames
