Node Name,IN,CA,CN,DE,ES,FR,IT,JP,UK,US
All,1,1,1,1,1,1,1,1,1,1
Accessories,4516623031,,,,,,,,,
Apparel,1571271031,,2016156051,78689031,2846220031,340855031,,361299011,83451031,1036592
Appliances,1380263031,,80207071,,4772050031,,,2277724051,,2619525011
ArtsAndCrafts,3591014031,,,,,,,,,2617941011
Automotive,4772060031,,1947899051,78191031,1951051031,1571265031,1571280031,2017304051,248877031,15690151
Baby,1571275031,3561346011,,357577011,1703495031,206617031,1571286031,13331821,60032031,165796011
Beauty,1355017031,6205124011,746776051,64257031,,197858031,,52391051,66280031,11055981
Books,976389031,927726,658390051,541686,599364031,468256,411663031,465610,1025612,1000
CameraAndPhoto ,1388977031,,,,,,,,,
CellPhonesAndAccessories,1389401031,,,,,,,,,
Classical,,962454,,542676,,301174,,562032,505510,301668
Collectibles,,,,,,,,,,4991425011
DVD,976416031,14113311,,547664,599379031,405322,412606031,562002,283926,2625373011
Electronics,976419031,677211011,2016116051,569604,667049031,340858031,412609031,3210991,560800,172282
ForeignBooks,,927726,,54071011,599367031,69633011,433842031,388316011,,
Garden,4294807031,,,,1571259031,,635016031,,,
GourmetFood,2454178031,,,,,,,,,3580501
Grocery,,,2127215051,340846031,,,,57239051,340834031,16310101
HealthPersonalCare,1350384031,6205177011,852803051,64257031,,197861031,,161669011,66280031,3760931
Hobbies,,,,,,,,13331821,,
Home,,,2016126051,,2454139031,,,,,
HomeGarden,2454176031,,,10925241,,,,,11052591,285080
HomeImprovement,,,1952920051,,,590748031,,,2016929051,
Industrial,,,,,,,,,,228239
Jewelry,1951049031,,816482051,327473011,2454126031,193711031,,85896051,193717031,3880591
KindleStore,,2972705011,116087071,530484031,827231031,672108031,818937031,2250738051,341677031,133141011
Kitchen,4951860031,2206275011,,3169011,599391031,57686031,524015031,3839151,11052591,284507
LawnGarden,,6205499011,,,,,,,,2972638011
Lighting,,,,213083031,3564289031,213080031,1571292031,,213077031,
Luggage,2454170031,,,2454118031,2454129031,2454145031,2454148031,,2454166031,
Magazines,,,,1161658,,,,,,599872
Miscellaneous,,,899280051,,,,,,,10304191
Music,976446031,962454,754386051,542676,599373031,301062,412600031,562032,505510,301668
MusicalInstruments,,,2127218051,340849031,3628866031,340862031,,2123629051,340837031,11091801
OfficeProducts,,,2127221051,192416031,,192420031,,,560800,1084128
OutdoorLiving,,,,10925051,,,,,11052591,286168
PCHardware,976393031,,,569604,,,,,,541966
PetSupplies,,6205514011,118863071,,,1571268031,,,,12923371
Photo,,,755653051,569604,,,,,,502394
Shoes,,,2029189051,,1571262031,215934031,524006031,2016926051,,
SportingGoods,1984443031,,836312051,16435121,2454136031,325614031,,14304371,319530011,3375251
Tools,,,,,,2567038031,,,11052591,468240
Toys,1350381031,6205517011,647070051,12950661,599385031,548014,523997031,13331821,712832,165793011
VideoGames,976461031,110218011,897415051,541708,599382031,548014,412603031,637872,1025616,468642
Watches,1350388031,,1953164051,193708031,599388031,60937031,524009031,324025011,595312,377110011
Wireless,,,,,,,,,,508494
WirelessAccessories,,,,,,,,,,13900851
